Data,obitos
17/03/2020,1
18/03/2020,4
19/03/2020,7
20/03/2020,11
21/03/2020,18
22/03/2020,25
23/03/2020,34
24/03/2020,46
25/03/2020,60
26/03/2020,77
27/03/2020,93
28/03/2020,114
29/03/2020,136
30/03/2020,165
31/03/2020,202
01/04/2020,240
02/04/2020,324
03/04/2020,365
04/04/2020,445
05/04/2020,487
06/04/2020,553
07/04/2020,686
08/04/2020,820
09/04/2020,954
10/04/2020,1068
11/04/2020,1140
12/04/2020,1230
13/04/2020,1328
14/04/2020,1532
15/04/2020,1757
16/04/2020,1924
17/04/2020,2141
18/04/2020,2362
19/04/2020,2462
20/04/2020,2587
21/04/2020,2741
22/04/2020,2924
23/04/2020,3313
24/04/2020,3670
25/04/2020,4016
26/04/2020,4271
27/04/2020,4543
28/04/2020,5017
29/04/2020,5466
30/04/2020,5901
01/05/2020,6329
02/05/2020,6750
03/05/2020,7025
04/05/2020,7343
05/05/2020,7921
06/05/2020,8536
07/05/2020,9146
08/05/2020,9897
09/05/2020,10656
10/05/2020,11123
11/05/2020,11625
12/05/2020,12400
13/05/2020,13158
14/05/2020,13999
15/05/2020,14817
16/05/2020,15633
17/05/2020,16118
18/05/2020,16792
19/05/2020,17971
20/05/2020,18859
21/05/2020,20047
22/05/2020,21048
23/05/2020,22013
24/05/2020,22716
25/05/2020,23522
26/05/2020,24549
27/05/2020,25598
28/05/2020,26764
29/05/2020,27944
30/05/2020,28834
31/05/2020,29314
01/06/2020,30046
02/06/2020,31278
03/06/2020,32547
04/06/2020,34039
05/06/2020,35047
06/06/2020,35967
07/06/2020,36411
08/06/2020,37312
09/06/2020,38497
10/06/2020,39797
11/06/2020,41058
12/06/2020,41901
13/06/2020,42791
14/06/2020,43389
15/06/2020,44118
16/06/2020,45456
17/06/2020,46665
18/06/2020,47869
19/06/2020,49090
20/06/2020,50058
21/06/2020,50659
22/06/2020,51407
23/06/2020,52771
24/06/2020,53874
25/06/2020,55054
26/06/2020,56109
27/06/2020,57103
28/06/2020,57658
29/06/2020,58385
30/06/2020,59656
01/07/2020,60713
02/07/2020,61990
03/07/2020,63254
04/07/2020,64365
05/07/2020,64900
06/07/2020,65556
07/07/2020,66868
08/07/2020,68055
09/07/2020,69254
10/07/2020,70524
11/07/2020,71492
12/07/2020,72151
13/07/2020,72921
14/07/2020,74262
15/07/2020,75523
16/07/2020,76822
17/07/2020,77932
18/07/2020,78817
19/07/2020,79533
20/07/2020,80251
21/07/2020,81597
22/07/2020,82890
23/07/2020,84207
24/07/2020,85385
25/07/2020,86496
26/07/2020,87052
27/07/2020,87679
28/07/2020,88634
29/07/2020,90188
30/07/2020,91377
31/07/2020,92568
01/08/2020,93616
02/08/2020,94130
03/08/2020,94702
04/08/2020,96096
05/08/2020,97418
06/08/2020,98644
07/08/2020,99702
08/08/2020,100543
09/08/2020,101136
10/08/2020,101857
11/08/2020,103099
12/08/2020,104263
13/08/2020,105564
14/08/2020,106571
15/08/2020,107297
16/08/2020,107879
17/08/2020,108654
18/08/2020,110019
19/08/2020,111189
20/08/2020,112423
21/08/2020,113454
22/08/2020,114277
23/08/2020,114772
24/08/2020,115451
25/08/2020,116666
26/08/2020,117756
27/08/2020,118726
28/08/2020,119594
29/08/2020,120498
30/08/2020,120896
31/08/2020,121515
01/09/2020,122681
02/09/2020,123899
03/09/2020,124729
04/09/2020,125584
05/09/2020,126230
06/09/2020,126686
07/09/2020,127001
